Ck,Ck_bias,adanet_fit_time,adanet_mean,adanet_std,beta,bolAugment,bolAugmentLayers,capitalLambda,dataset,lossFirst,lossFirstChange,lossLast,lossLastChange,lowerLambda,maxLayers,maxNodes,numL,numN,,,,
0.1,0.1,10.43448305,0.672108844,0,0,TRUE,TRUE,0.1,twospirals,[1.1127687],nan,[1.10258465],nan,0,3,100,2,"[[9]
 [1]
 [0]]",,,,
0.1,0.1,7.454295874,0.671655329,0,0,TRUE,FALSE,0.1,twospirals,[1.11218802],nan,[1.10249877],nan,0,3,100,2,"[[7]
 [1]
 [0]]",,,,
0.1,0.1,7.688028812,0.671655329,0,0,FALSE,TRUE,0.1,twospirals,[1.11404844],nan,[1.10268365],nan,0,3,100,2,"[[7]
 [1]
 [0]]",,,,
0.1,0.1,8.777634382,0.670748299,0,0,FALSE,FALSE,0.1,twospirals,[1.11347415],nan,[1.10246457],nan,0,3,100,2,"[[8]
 [1]
 [0]]",,,,
0.1,0.1,10.48263621,0.671428571,0,0,TRUE,TRUE,0.1,twospirals,[1.11336237],nan,[1.10229132],nan,0.0001,3,100,2,"[[8]
 [1]
 [0]]",,,,
0.1,0.1,10.89507842,0.670975057,0,0,TRUE,FALSE,0.1,twospirals,[1.11194237],nan,[1.10286094],nan,0.0001,3,100,2,"[[7]
 [1]
 [0]]",,,,
0.1,0.1,12.81778336,0.671201814,0,0,FALSE,TRUE,0.1,twospirals,[1.1127486],nan,[1.1023991],nan,0.0001,3,100,2,"[[6]
 [1]
 [0]]",,,,
0.1,0.1,8.723070621,0.671428571,0,0,FALSE,FALSE,0.1,twospirals,[1.1125809],nan,[1.10229346],nan,0.0001,3,100,2,"[[7]
 [1]
 [0]]",,,,
0.1,0.1,11.00207567,0.671201814,0,0,TRUE,TRUE,0.1,twospirals,[1.11259431],nan,[1.10242539],nan,1.00E-05,3,100,2,"[[9]
 [1]
 [0]]",,,,
0.1,0.1,8.41885519,0.671428571,0,0,TRUE,FALSE,0.1,twospirals,[1.11167638],nan,[1.10271305],nan,1.00E-05,3,100,2,"[[8]
 [1]
 [0]]",,,,
0.1,0.1,10.34012866,0.671655329,0,0,FALSE,TRUE,0.1,twospirals,[1.11122799],nan,[1.10252174],nan,1.00E-05,3,100,2,"[[8]
 [1]
 [0]]",,,,
0.1,0.1,10.76826477,0.671428571,0,0,FALSE,FALSE,0.1,twospirals,[1.11169649],nan,[1.1028533],nan,1.00E-05,3,100,2,"[[8]
 [1]
 [0]]",,,,
